Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Utah,USA.45_1,,,,,USA.45_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Wyoming,USA.51_1,,,,,USA.51_1
EVS,1990-1993,840,USA,840009,US: Northwest,United States,USA,US,1,Alaska,USA.2_1,,,,,USA.2_1
EVS,1990-1993,840,USA,840009,US: Northwest,United States,USA,US,1,Oregon,USA.38_1,,,,,USA.38_1
EVS,1990-1993,840,USA,840009,US: Northwest,United States,USA,US,1,Washington,USA.48_1,,,,,USA.48_1
EVS,1990-1993,840,USA,840010,US: California,United States,USA,US,1,California,USA.5_1,,,,,USA.5_1
,,,,,,,,,,,,,,,,
WVS,2010-2014,156,CHN,156001,CN: Beijing,China,CHN,CN,1,Beijing,CHN.2_1,,,,,CHN.2_1
WVS,2010-2014,156,CHN,156002,CN: Hebei Province,China,CHN,CN,1,Hebei,CHN.10_1,,,,,CHN.10_1
WVS,2010-2014,156,CHN,156003,CN: Shanxi Province,China,CHN,CN,1,Shanxi,CHN.25_1,,,,,CHN.25_1
WVS,2010-2014,156,CHN,156005,CN: Liaoning Province,China,CHN,CN,1,Liaoning,CHN.18_1,,,,,CHN.18_1
WVS,2010-2014,156,CHN,156006,CN: Jilin,China,CHN,CN,1,Jilin,CHN.17_1,,,,,CHN.17_1
WVS,2010-2014,156,CHN,156007,CN: Heilongjiang Province,China,CHN,CN,1,Heilongjiang,CHN.11_1,,,,,CHN.11_1
WVS,2010-2014,156,CHN,156008,CN: Shanghai,China,CHN,CN,1,Shanghai,CHN.24_1,,,,,CHN.24_1
WVS,2010-2014,156,CHN,156009,CN: Jiangsu Province,China,CHN,CN,1,Jiangsu,CHN.15_1,,,,,CHN.15_1
WVS,2010-2014,156,CHN,156010,CN: Zhejiang Province,China,CHN,CN,1,Zhejiang,CHN.31_1,,,,,CHN.31_1
WVS,2010-2014,156,CHN,156011,CN: Anhui Province,China,CHN,CN,1,Anhui,CHN.1_1,,,,,CHN.1_1
WVS,2010-2014,156,CHN,156012,CN: Fujian Province,China,CHN,CN,1,Fujian,CHN.4_1,,,,,CHN.4_1
WVS,2010-2014,156,CHN,156013,CN: Jiangxi Province,China,CHN,CN,1,Jiangxi,CHN.16_1,,,,,CHN.16_1
WVS,2010-2014,156,CHN,156014,CN: Shandong Province,China,CHN,CN,1,Shandong,CHN.23_1,,,,,CHN.23_1
