Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,NUTS1,NUTS2,NUTS3,gid
EVS,2008-2010,380,ITA,-5,Unknown,ITD,ITD2,-5,ITA.17.2_1
EVS,2008-2010,380,ITA,-5,Unknown,ITD,ITD2,-5,ITA.17.1_1
EVS,2008-2010,380,ITA,-5,Unknown,ITD,ITD3,-5,ITA.20_1
EVS,2008-2010,380,ITA,-5,Unknown,ITD,ITD4,-5,ITA.7_1
EVS,2008-2010,380,ITA,-5,Unknown,ITD,ITD5,-5,ITA.6_1
EVS,2008-2010,380,ITA,-5,Unknown,ITE,ITE1,-5,ITA.16_1
EVS,2008-2010,380,ITA,-5,Unknown,ITE,ITE2,-5,ITA.18_1
EVS,2008-2010,380,ITA,-5,Unknown,ITE,ITE3,-5,ITA.11_1
EVS,2008-2010,380,ITA,-5,Unknown,ITE,ITE4,-5,ITA.8_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF1,-5,ITA.1_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF2,-5,ITA.12_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF3,-5,ITA.5_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF4,-5,ITA.2_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF5,-5,ITA.3_1
EVS,2008-2010,380,ITA,-5,Unknown,ITF,ITF6,-5,ITA.4_1
EVS,2008-2010,380,ITA,-5,Unknown,ITG,ITG1,-5,ITA.15_1
EVS,2008-2010,380,ITA,-5,Unknown,ITG,ITG2,-5,ITA.14_1
,,,,,,,,,
EVS,2008-2010,56,BEL,-5,Unknown,BE1,BE10,-5,BEL.1.1_1
EVS,2008-2010,56,BEL,-5,Unknown,BE2,BE21,-5,BEL.2.1_1
EVS,2008-2010,56,BEL,-5,Unknown,BE2,BE22,-5,BEL.2.2_1
EVS,2008-2010,56,BEL,-5,Unknown,BE2,BE23,-5,BEL.2.3_1
EVS,2008-2010,56,BEL,-5,Unknown,BE2,BE24,-5,BEL.2.4_1
EVS,2008-2010,56,BEL,-5,Unknown,BE2,BE25,-5,BEL.2.5_1
EVS,2008-2010,56,BEL,-5,Unknown,BE3,BE31,-5,BEL.3.1_1
EVS,2008-2010,56,BEL,-5,Unknown,BE3,BE32,-5,BEL.3.2_1
EVS,2008-2010,56,BEL,-5,Unknown,BE3,BE33,-5,BEL.3.3_1
EVS,2008-2010,56,BEL,-5,Unknown,BE3,BE34,-5,BEL.3.4_1
EVS,2008-2010,56,BEL,-5,Unknown,BE3,BE35,-5,BEL.3.5_1
,,,,,,,,,
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH01,-5,CHE.24_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH01,-5,CHE.23_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH01,-5,CHE.8_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH02,-5,CHE.6_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH02,-5,CHE.7_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH02,-5,CHE.19_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH02,-5,CHE.13_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH02,-5,CHE.11_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH03,-5,CHE.5_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH03,-5,CHE.4_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH03,-5,CHE.1_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH04,-5,CHE.26_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.9_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.17_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.2_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.3_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.16_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.10_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH05,-5,CHE.20_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.12_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.22_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.18_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.15_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.14_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH06,-5,CHE.25_1
EVS,2008-2010,756,CHE,-5,Unknown,CH0,CH07,-5,CHE.21_1
,,,,,,,,,
EVS,2008-2010,909,GBR-NIR,-5,Unknown,GB-NIRN,GB-NIRN0,-5,GBR.2_1
,,,,,,,,,
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.30_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.23_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.39_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.56_1
