Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Post-demographic dividend,PST,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.65589474752177,2017.0
Post-demographic dividend,PST,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,39541699025765.5,2017.0
Post-demographic dividend,PST,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Pre-demographic dividend,PRE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.079097397312,2017.0
Pre-demographic dividend,PRE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1006885244831.92,2017.0
Pre-demographic dividend,PRE,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Small states,SST,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.33440768432125,2017.0
Small states,SST,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,383737083791.145,2017.0
Small states,SST,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
South Asia,SAS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.2118728469707305,2017.0
South Asia,SAS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2911922477167.5,2017.0
South Asia,SAS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
South Asia (IDA & IBRD),TSA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.2118728469707305,2017.0
South Asia (IDA & IBRD),TSA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2911922477167.5,2017.0
South Asia (IDA & IBRD),TSA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Sub-Saharan Africa,SSF,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.37061017224414,2017.0
Sub-Saharan Africa,SSF,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1296809472955.65,2017.0
Sub-Saharan Africa,SSF,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Sub-Saharan Africa (excluding high income),SSA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.37061017224414,2017.0
Sub-Saharan Africa (excluding high income),SSA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1295691548609.65,2017.0
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.37061017224414,2017.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1296809472955.65,2017.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Upper middle income,UMC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.73593134338441,2017.0
Upper middle income,UMC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,17809119216308.5,2017.0
