GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
MT00,P_HTHAB,OC221	367.60	382.78	396.37	397.21
NL,P_HTHAB,OC221	348.72	353.68	360.33	366.96
NL11,P_HTHAB,OC221	512.65	528.57	534.92	534.56
NL12,P_HTHAB,OC221	221.00	222.60	227.33	232.60
NL13,P_HTHAB,OC221	270.36	277.43	283.57	288.95
NL21,P_HTHAB,OC221	251.56	254.37	257.13	261.79
NL22,P_HTHAB,OC221	345.16	349.77	354.38	363.40
NL23,P_HTHAB,OC221	128.81	123.66	125.44	122.19
NL31,P_HTHAB,OC221	537.29	545.87	558.84	571.63
NL32,P_HTHAB,OC221	468.24	473.12	477.75	482.64
NL33,P_HTHAB,OC221	339.20	344.34	353.15	363.24
NL34,P_HTHAB,OC221	154.34	155.74	161.55	163.33
NL41,P_HTHAB,OC221	246.02	249.08	254.88	259.01
NL42,P_HTHAB,OC221	335.24	340.41	344.83	347.91
AT,P_HTHAB,OC221	509.12	512.96	518.28	524.14
AT11,P_HTHAB,OC221	387.32	397.97	407.10	420.06
AT12,P_HTHAB,OC221	456.29	459.35	459.17	465.62
AT13,P_HTHAB,OC221	683.97	681.16	684.97	679.56
AT21,P_HTHAB,OC221	454.69	458.47	464.89	481.18
AT22,P_HTHAB,OC221	499.35	501.11	511.24	518.35
AT31,P_HTHAB,OC221	413.95	414.73	417.61	421.56
AT32,P_HTHAB,OC221	544.82	551.92	560.15	568.33
AT33,P_HTHAB,OC221	514.73	535.38	545.38	561.28
AT34,P_HTHAB,OC221	406.17	412.73	418.97	434.33
PL,P_HTHAB,OC221	232.81	241.58	237.75	:
PL11,P_HTHAB,OC221	268.70	281.88	:	:
PL12,P_HTHAB,OC221	272.68	281.13	:	:
PL21,P_HTHAB,OC221	230.46	243.99	245.59	:
PL22,P_HTHAB,OC221	244.63	252.55	252.15	:
PL31,P_HTHAB,OC221	250.61	254.63	:	:
PL32,P_HTHAB,OC221	214.36	217.79	:	:
PL33,P_HTHAB,OC221	234.23	246.91	:	:
PL34,P_HTHAB,OC221	259.42	274.45	:	:
PL41,P_HTHAB,OC221	151.65	158.01	161.29	:
PL42,P_HTHAB,OC221	244.09	248.72	252.07	:
PL43,P_HTHAB,OC221	202.23	205.37	204.28	:
PL51,P_HTHAB,OC221	228.15	233.72	222.14	:
PL52,P_HTHAB,OC221	203.83	214.37	213.21	:
PL61,P_HTHAB,OC221	233.20	247.08	249.93	:
PL62,P_HTHAB,OC221	210.57	218.87	214.04	:
PL63,P_HTHAB,OC221	226.09	237.83	238.04	:
PL71,P_HTHAB,OC221	268.70	281.88	269.64	:
PL72,P_HTHAB,OC221	234.23	246.91	241.18	:
PL81,P_HTHAB,OC221	250.61	254.63	250.72	:
PL82,P_HTHAB,OC221	214.36	217.79	223.18	:
PL84,P_HTHAB,OC221	259.42	274.45	255.99	:
PT,P_HTHAB,OC221	461.40	479.79	497.47	515.04
PT11,P_HTHAB,OC221	447.63	469.04	490.03	511.33
PT15,P_HTHAB,OC221	364.95	379.90	390.20	405.93
PT16,P_HTHAB,OC221	419.70	437.53	458.52	478.34
PT17,P_HTHAB,OC221	603.75	619.06	631.44	643.20
PT18,P_HTHAB,OC221	264.52	277.30	285.73	296.59
PT20,P_HTHAB,OC221	290.58	309.13	324.24	338.60
PT30,P_HTHAB,OC221	352.55	376.30	403.34	422.97
RO,P_HTHAB,OC221	276.58	284.10	292.68	304.70
RO11,P_HTHAB,OC221	303.60	298.33	304.94	322.75
RO12,P_HTHAB,OC221	284.48	295.66	301.50	312.62
RO21,P_HTHAB,OC221	209.64	221.42	234.52	244.03
RO22,P_HTHAB,OC221	198.90	201.03	204.94	209.75
RO31,P_HTHAB,OC221	149.62	152.08	152.13	157.35
RO32,P_HTHAB,OC221	533.72	553.11	563.13	580.58
RO41,P_HTHAB,OC221	261.69	270.36	283.50	298.44
RO42,P_HTHAB,OC221	360.55	369.99	385.74	399.38
SI,P_HTHAB,OC221	282.53	301.40	310.11	317.81
SI03,P_HTHAB,OC221	244.04	253.65	252.19	264.54
