GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
NL42,T,Y_LT1,YR	81.6	81.0	81.5	81.5	81.8
AT,T,Y_LT1,YR	81.6	81.3	81.8	81.7	81.8
AT1,T,Y_LT1,YR	80.9	80.8	81.1	81.2	81.0
AT11,T,Y_LT1,YR	81.4	81.2	81.4	81.5	81.5
AT12,T,Y_LT1,YR	81.3	81.0	81.4	81.6	81.5
AT13,T,Y_LT1,YR	80.5	80.4	80.9	80.8	80.6
AT2,T,Y_LT1,YR	81.9	81.3	82.0	81.8	82.0
AT21,T,Y_LT1,YR	81.8	81.4	81.8	81.9	81.6
AT22,T,Y_LT1,YR	82.0	81.3	82.1	81.8	82.2
AT3,T,Y_LT1,YR	82.4	82.0	82.5	82.4	82.6
AT31,T,Y_LT1,YR	82.0	81.5	82.2	82.0	82.2
AT32,T,Y_LT1,YR	82.6	82.4	82.7	82.4	82.9
AT33,T,Y_LT1,YR	82.8	82.4	82.8	83.2	83.0
AT34,T,Y_LT1,YR	83.1	82.4	82.7	82.4	82.9
PL,T,Y_LT1,YR	77.8	77.5	78.0	77.8	77.7
PL2,T,Y_LT1,YR	77.8	77.6	78.1	77.9	78.0
PL21,T,Y_LT1,YR	79.1	78.8	79.3	79.1	79.1
PL22,T,Y_LT1,YR	77.0	76.7	77.4	77.2	77.2
PL4,T,Y_LT1,YR	77.7	77.3	77.8	77.7	77.4
PL41,T,Y_LT1,YR	77.8	77.4	78.0	77.9	77.6
PL42,T,Y_LT1,YR	77.6	77.4	77.7	77.6	77.3
PL43,T,Y_LT1,YR	77.4	76.9	77.4	77.3	76.9
PL5,T,Y_LT1,YR	77.6	77.3	77.8	77.5	77.4
PL51,T,Y_LT1,YR	77.4	77.2	77.7	77.4	77.2
PL52,T,Y_LT1,YR	78.1	77.5	78.2	77.6	78.0
PL6,T,Y_LT1,YR	77.8	77.6	77.8	77.8	77.5
PL61,T,Y_LT1,YR	77.5	77.6	77.8	77.7	77.2
PL62,T,Y_LT1,YR	77.4	77.1	77.1	77.1	76.9
PL63,T,Y_LT1,YR	78.2	78.0	78.3	78.4	78.2
PL7,T,Y_LT1,YR	76.8	76.4	76.9	76.8	76.8
PL71,T,Y_LT1,YR	76.3	75.9	76.5	76.4	76.3
PL72,T,Y_LT1,YR	77.9	77.4	77.9	77.9	77.7
PL8,T,Y_LT1,YR	78.4	78.2	78.7	78.5	78.5
PL81,T,Y_LT1,YR	77.8	77.8	78.2	77.8	77.8
PL82,T,Y_LT1,YR	79.0	78.7	79.2	79.4	79.4
PL84,T,Y_LT1,YR	78.4	78.2	78.4	78.5	78.2
PL9,T,Y_LT1,YR	78.2	78.1	78.4	78.2	78.0
