GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
SE12,"1,708,813.00","94,880.00","99,583.00","159,319.00"
SE2,"4,425,644.00","241,304.00","244,667.00","412,716.00"
SE21,"864,630.00","50,746.00","52,035.00","89,349.00"
SE22,"1,521,848.00","81,172.00","82,532.00","139,804.00"
SE23,"2,039,166.00","109,386.00","110,100.00","183,563.00"
SE3,"1,751,604.00","110,378.00","113,808.00","186,802.00"
SE31,"855,220.00","54,534.00","57,382.00","92,873.00"
SE32,"375,733.00","23,843.00","24,869.00","40,525.00"
SE33,"520,651.00","32,001.00","31,557.00","53,404.00"
UK,"66,647,112.00","3,384,532.00","3,286,389.00","5,601,457.00"
UKC,"2,656,980.00","149,585.00","142,322.00","233,868.00"
UKC1,"1,201,543.00","67,760.00","64,941.00","105,828.00"
UKC2,"1,455,437.00","81,825.00","77,381.00","128,040.00"
UKD,"7,300,075.00","379,979.00","368,336.00","615,277.00"
UKD1,"498,083.00","33,098.00","32,738.00","55,168.00"
UKD3,"2,822,003.00","127,263.00","121,756.00","199,543.00"
UKD4,"1,495,318.00","82,611.00","82,561.00","134,954.00"
UKD6,"931,347.00","53,675.00","54,542.00","91,667.00"
UKD7,"1,553,324.00","83,332.00","76,739.00","133,945.00"
UKE,"5,486,230.00","284,648.00","277,130.00","461,685.00"
UKE1,"932,645.00","54,887.00","53,701.00","87,449.00"
UKE2,"824,054.00","50,403.00","51,362.00","86,838.00"
UKE3,"1,404,971.00","69,365.00","68,286.00","115,402.00"
UKE4,"2,324,560.00","109,993.00","103,781.00","171,996.00"
UKF,"4,811,065.00","261,975.00","257,080.00","416,259.00"
UKF1,"2,210,381.00","118,143.00","116,157.00","190,937.00"
UKF2,"1,843,764.00","95,417.00","91,127.00","145,431.00"
UKF3,"756,920.00","48,415.00","49,796.00","79,891.00"
UKG,"5,907,872.00","297,358.00","290,087.00","509,700.00"
UKG1,"1,352,539.00","80,946.00","81,696.00","137,753.00"
