GEO,UNIT\TIME	2014	2015	2016	2017	2018
DE949,NR	3 095	3 260	3 199	3 210	3 390
DE94A,NR	1 177	1 235	1 253	1 226	1 342
DE94B,NR	1 364	1 412	1 380	1 464	1 461
DE94C,NR	1 845	1 947	1 941	1 953	2 090
DE94D,NR	1 338	1 394	1 423	1 439	1 502
DE94E,NR	3 491	3 739	3 816	3 762	4 057
DE94F,NR	1 069	1 130	1 209	1 131	1 202
DE94G,NR	1 073	1 144	1 137	1 173	1 148
DE94H,NR	665	700	768	739	779
DEA,NR	192 913	204 352	202 251	204 842	211 140
DEA1,NR	58 212	61 986	60 889	61 762	63 617
DEA11,NR	6 012	6 327	6 055	6 252	6 335
DEA12,NR	5 984	6 317	6 240	6 122	6 310
DEA13,NR	7 070	7 457	7 480	7 415	7 576
DEA14,NR	2 545	2 745	2 783	2 763	2 987
DEA15,NR	3 006	3 166	3 176	3 136	3 322
DEA16,NR	2 112	2 224	2 139	2 218	2 233
DEA17,NR	2 625	2 773	2 649	2 761	2 817
DEA18,NR	1 334	1 453	1 333	1 289	1 383
DEA19,NR	1 829	2 033	1 965	2 063	2 079
DEA1A,NR	3 969	4 175	4 128	4 353	4 274
DEA1B,NR	3 222	3 519	3 388	3 604	3 680
DEA1C,NR	5 448	5 952	5 844	5 843	6 211
DEA1D,NR	4 617	4 970	4 910	5 066	5 188
DEA1E,NR	3 200	3 377	3 345	3 326	3 415
DEA1F,NR	5 239	5 498	5 454	5 551	5 807
DEA2,NR	43 986	46 402	45 797	46 789	48 620
DEA22,NR	2 705	2 932	2 984	2 999	2 995
DEA23,NR	9 565	9 890	9 569	9 628	10 319
DEA24,NR	1 726	1 904	1 777	1 774	1 846
DEA26,NR	2 901	3 168	3 066	3 179	3 304
DEA27,NR	4 823	4 914	4 961	5 239	5 345
DEA28,NR	2 149	2 317	2 253	2 307	2 318
DEA29,NR	2 677	2 870	2 801	2 936	3 027
DEA2A,NR	3 003	3 244	3 235	3 231	3 437
DEA2B,NR	3 019	3 133	3 226	3 263	3 434
DEA2C,NR	5 782	6 050	5 960	6 324	6 429
DEA2D,NR	5 636	5 980	5 965	5 909	6 166
DEA3,NR	27 239	28 536	28 740	29 203	29 868
DEA31,NR	1 475	1 508	1 575	1 563	1 545
DEA32,NR	3 268	3 448	3 341	3 465	3 486
DEA33,NR	2 582	2 642	2 639	2 668	2 680
DEA34,NR	3 407	3 681	3 566	3 714	3 767
DEA35,NR	2 179	2 187	2 208	2 282	2 434
DEA36,NR	7 509	7 816	7 981	7 886	8 145
DEA37,NR	4 101	4 509	4 534	4 628	4 713
DEA38,NR	2 718	2 745	2 896	2 997	3 098
DEA4,NR	21 425	22 568	22 759	22 907	23 626
