GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018
AT21,P_HTHAB,HBEDT	858.40	836.87	810.00	818.84
AT22,P_HTHAB,HBEDT	827.61	816.83	821.95	815.22
AT31,P_HTHAB,HBEDT	684.49	676.60	689.64	686.75
AT32,P_HTHAB,HBEDT	918.49	918.47	898.13	883.01
AT33,P_HTHAB,HBEDT	681.76	675.15	674.68	669.66
AT34,P_HTHAB,HBEDT	581.33	569.80	562.98	537.63
PL,P_HTHAB,HBEDT	663.47	664.04	662.38	653.69
PL11,P_HTHAB,HBEDT	574.90	569.02	:	:
PL12,P_HTHAB,HBEDT	550.57	554.42	:	:
PL21,P_HTHAB,HBEDT	653.92	653.45	658.33	658.71
PL22,P_HTHAB,HBEDT	667.18	671.79	663.29	656.05
PL31,P_HTHAB,HBEDT	652.23	652.18	:	:
PL32,P_HTHAB,HBEDT	720.10	723.33	:	:
PL33,P_HTHAB,HBEDT	830.41	836.73	:	:
PL34,P_HTHAB,HBEDT	626.28	619.29	:	:
PL41,P_HTHAB,HBEDT	508.79	498.55	502.06	487.41
PL42,P_HTHAB,HBEDT	1 218.91	1 201.81	1 196.15	1 203.38
PL43,P_HTHAB,HBEDT	520.62	516.80	521.35	509.61
PL51,P_HTHAB,HBEDT	790.80	791.23	776.47	774.78
PL52,P_HTHAB,HBEDT	566.44	585.62	565.51	547.91
PL61,P_HTHAB,HBEDT	857.44	879.06	895.27	894.93
PL62,P_HTHAB,HBEDT	554.76	562.62	573.74	553.32
PL63,P_HTHAB,HBEDT	574.86	569.47	574.89	551.39
PL71,P_HTHAB,HBEDT	574.90	569.02	564.28	548.13
PL72,P_HTHAB,HBEDT	830.41	836.73	833.76	802.28
PL81,P_HTHAB,HBEDT	652.23	652.18	657.20	658.33
PL82,P_HTHAB,HBEDT	720.10	723.33	714.72	704.02
PL84,P_HTHAB,HBEDT	626.28	619.29	631.02	628.80
PL91,P_HTHAB,HBEDT	:	:	:	610.61
PL92,P_HTHAB,HBEDT	:	:	:	450.92
PT,P_HTHAB,HBEDT	336.84	339.33	339.34	344.51
PT11,P_HTHAB,HBEDT	298.00	307.19	312.34	320.19
PT15,P_HTHAB,HBEDT	249.94	250.17	256.05	283.90
PT16,P_HTHAB,HBEDT	305.99	312.25	314.62	314.12
PT17,P_HTHAB,HBEDT	396.88	390.27	380.90	383.10
PT18,P_HTHAB,HBEDT	217.18	213.24	216.92	218.00
PT20,P_HTHAB,HBEDT	612.05	619.08	605.14	608.17
PT30,P_HTHAB,HBEDT	721.79	709.17	707.32	726.32
RO,P_HTHAB,HBEDT	679.12	683.99	689.21	696.83
RO11,P_HTHAB,HBEDT	708.70	712.46	718.04	726.78
RO12,P_HTHAB,HBEDT	707.53	713.38	716.25	718.86
RO21,P_HTHAB,HBEDT	645.05	645.13	648.59	657.75
RO22,P_HTHAB,HBEDT	589.33	595.61	601.93	617.04
RO31,P_HTHAB,HBEDT	486.44	492.20	496.57	506.49
RO32,P_HTHAB,HBEDT	1 023.18	1 022.74	1 018.22	1 012.51
RO41,P_HTHAB,HBEDT	628.20	641.96	649.34	662.35
RO42,P_HTHAB,HBEDT	730.83	733.30	747.88	746.88
SI,P_HTHAB,HBEDT	451.41	448.71	449.77	442.79
SI03,P_HTHAB,HBEDT	373.79	373.00	375.26	370.58
SI04,P_HTHAB,HBEDT	538.81	533.61	533.02	523.11
