Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Thailand,THA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.062,2018.0,THA
Timor-Leste,TLS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,TLS
Togo,TGO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.018,2018.0,TGO
Tonga,TON,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,TON
Trinidad and Tobago,TTO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.038,2018.0,TTO
Tunisia,TUN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.054,2018.0,TUN
Turkey,TUR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,TUR
Turkmenistan,TKM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046,2018.0,TKM
Turks and Caicos Islands,TCA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,TCA
Tuvalu,TUV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,TUV
Uganda,UGA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,UGA
Ukraine,UKR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.062,2018.0,UKR
United Arab Emirates,ARE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045,2018.0,ARE
United Kingdom,GBR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.051,2018.0,GBR
United States,USA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047,2018.0,USA
Uruguay,URY,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,URY
Uzbekistan,UZB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.062,2018.0,UZB
Vanuatu,VUT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.064,2018.0,VUT
"Venezuela, RB",VEN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,VEN
Vietnam,VNM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.1179999999999999,2018.0,VNM
Virgin Islands (U.S.),VIR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,VIR
West Bank and Gaza,PSE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,PSE
"Yemen, Rep.",YEM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,YEM
Zambia,ZMB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.031,2018.0,ZMB
Zimbabwe,ZWE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.02,2018.0,ZWE
