Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Brunei Darussalam,BRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10430753497.7179,2017.0,BRN
Brunei Darussalam,BRN,GDP per capita (current LCU),NY.GDP.PCAP.CN,42663.4527067666,2018.0,BRN
Bulgaria,BGR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.37477583325534,2017.0,BGR
Bulgaria,BGR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,50265578906.7335,2017.0,BGR
Bulgaria,BGR,GDP per capita (current LCU),NY.GDP.PCAP.CN,15364.7467560793,2018.0,BGR
Burkina Faso,BFA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.39600624923622,2017.0,BFA
Burkina Faso,BFA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8770542310.98477,2017.0,BFA
Burkina Faso,BFA,GDP per capita (current LCU),NY.GDP.PCAP.CN,397406.52696613205,2018.0,BFA
Burundi,BDI,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.7932497932901,2017.0,BDI
Burundi,BDI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2297326308.24925,2017.0,BDI
Burundi,BDI,GDP per capita (current LCU),NY.GDP.PCAP.CN,484501.284878239,2018.0,BDI
Cabo Verde,CPV,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.38240874302298,2017.0,CPV
Cabo Verde,CPV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1306335322.78554,2017.0,CPV
Cabo Verde,CPV,GDP per capita (current LCU),NY.GDP.PCAP.CN,339596.44130666304,2018.0,CPV
Cambodia,KHM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.46010650308995,2017.0,KHM
Cambodia,KHM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18434698363.84,2017.0,KHM
Cambodia,KHM,GDP per capita (current LCU),NY.GDP.PCAP.CN,6125877.67505787,2018.0,KHM
Cameroon,CMR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.04842736760158,2017.0,CMR
Cameroon,CMR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29052423887.784,2017.0,CMR
Cameroon,CMR,GDP per capita (current LCU),NY.GDP.PCAP.CN,852327.8076740791,2018.0,CMR
Canada,CAN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.10894569400942,2017.0,CAN
Canada,CAN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1344757613682.21,2017.0,CAN
Canada,CAN,GDP per capita (current LCU),NY.GDP.PCAP.CN,59908.45156281559,2018.0,CAN
Cayman Islands,CYM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,CYM
Cayman Islands,CYM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,CYM
Cayman Islands,CYM,GDP per capita (current LCU),NY.GDP.PCAP.CN,67601.0570824524,2017.0,CYM
Central African Republic,CAF,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-12.0407467054619,2017.0,CAF
Central African Republic,CAF,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1484502400.49942,2017.0,CAF
Central African Republic,CAF,GDP per capita (current LCU),NY.GDP.PCAP.CN,264366.766765737,2018.0,CAF
Chad,TCD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-12.4972738276049,2017.0,TCD
Chad,TCD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,7631261127.73843,2017.0,TCD
Chad,TCD,GDP per capita (current LCU),NY.GDP.PCAP.CN,404753.30039874703,2018.0,TCD
Chile,CHL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.115271146920094,2017.0,CHL
Chile,CHL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,209700519908.97,2017.0,CHL
Chile,CHL,GDP per capita (current LCU),NY.GDP.PCAP.CN,10211280.7445214,2018.0,CHL
China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.37042967373074,2017.0,CHN
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9105743379895.28,2017.0,CHN
China,CHN,GDP per capita (current LCU),NY.GDP.PCAP.CN,64643.5059200276,2018.0,CHN
Colombia,COL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.07795649873248,2017.0,COL
Colombia,COL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,255603066979.244,2017.0,COL
Colombia,COL,GDP per capita (current LCU),NY.GDP.PCAP.CN,19708015.6418221,2018.0,COL
Comoros,COM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.04777469338225,2017.0,COM
Comoros,COM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1004866701.34254,2017.0,COM
Comoros,COM,GDP per capita (current LCU),NY.GDP.PCAP.CN,589865.460723134,2018.0,COM
